Job_Title,Company_Name,Location,Date,Job_Description,Estimated_Salary
Data Scientist,Best Buy,,3 days ago,"Masters in Data Science, Statistics, Business Analytics, Computer Science, Math or related quantitative field.E-Commerce and analyzing clickstream data.",
Data Science,Globalmax Solutions,,30+ days ago,"We are looking for a progressive Data Scientist.Check data for errors, inconsistencies, usability and relevance.5+ years experience in the field of practice.",
Summer Instructor: Sports Analytics and Data Science,JKCP,,10 days ago,"We are currently searching for teachers to join our highly motivated and talented summer team on the Main Line of Philadelphia, PA!",
2020 Corporate Data Science Summer Internship,Finish Line,,7 days ago,2020 CORPORATE DATA SCIENCE SUMMER INTERNSHIP.The Data Science Interns will have an opportunity to work cross functionally with numerous teams including…,
Data Scientist,MRP,,Today,"In Statistics, Computer Science or related field.Experience with Big Data toolsDesired Skills & Experience.Position can consider fully remote candidates.","$120,000 a year"
Data Engineer,Seen by Indeed,"St. Louis, MO",30+ days ago,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",,Lead and develop a team of 3-5 high-performing data scientists.Our goal in the Pricing Sophistication team within GRM Product Design & Modeling is to be an…,"$150,200 - $197,600 a year"
Data Engineer,Seen by Indeed,"St. Louis, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Data Science Engineer (2 years exp required),ESS Analysis,"Natick, MA 01760",,"Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.SQL - ability to work with large data sets including…",
Marketing Data Science Analyst (SQL/Python/Tableau/Alteryx),Tractor Supply Company,"Brentwood, TN 37027",,"The Marketing Data Science Analyst is responsible for creating, expanding, maintaining and analyzing optimized data that will be the foundation for cross…",
Data Scientist,Brains Workgroup,"Cambridge, MA 02140",3 days ago,"2+ years of industry experience in a Data Science or Analytics role.Our client, a leading internet travel company, is looking for a talented Data Scientist (Ad…",
Data Warehouse Engineer,Seen by Indeed,"Kansas City, MO",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Data Science Intern,Danfoss,,Today,"Work with Danfoss to develop cutting edge data science solutions to real world problems.Studying Statistics, Economics, Computer Science, Mathematics,…",
"Data Science Summer 2020 Internships – New York, NY",NBCUniversal,,30+ days ago,"Unlike a traditional internship, the Data Science Practica embeds future Data Scientists and Data Engineers in ongoing projects within NBCUniversal.",
Training and Placement on Data Science,SConcept,,5 days ago,Data Science: 1 year (Preferred).Job Title : Training and Placement on Data Science*.Excellent communication; translate data analytics into business speak.,"$85,000 - $90,000 a year"
Entry Level Data Scientist,Numero Data LLC,,3 days ago,"Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations…","$70,000 a year"
2020 Summer Internship - Data Science,Domino's,,30+ days ago,"Pursuing MS or MBA degree in Data Science, Mathematics, Statistics, Predictive Modeling, Industrial Operations Engineering, or other related field.",
DATA SCIENCE FACILITATOR,University of Wisconsin–Madison,,13 days ago,"This facilitator position will be associated with the Data Science Hub, whose mission is to coordinate campus-wide data science resources and expertise, connect…",
Entry Level Data Scientist,IBM,,30+ days ago,"Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud…",
Data Science,Globalmax Solutions,,30+ days ago,"We are looking for a progressive Data Scientist.Check data for errors, inconsistencies, usability and relevance.5+ years experience in the field of practice.",
Data Scientist / Machine Learning Specialist,University of Michigan,,Just posted,"B.S. Degree in Engineering, Computer Science, Applied Mathematics, Statistics, or Data Analytics.B.S. Degree in Engineering, Computer Science, Applied…",
Data Management Analyst,FCA,,3 days ago,Ensure a meaningful and complete data catalog that enables the business and data science communities to quickly understand the data landscape.,
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
Data Science Modeler,Avero,"Boulder, CO 80301",,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
"Director II, Data Science, GRM Product Design & Modeling Pri...",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",19 days ago,Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,"$150,200 - $197,600 a year"
Business Analyst - Data Science,MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",Just posted,"Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures…",
Data Scientist,DISYS,"Auburn Hills, MI",3 days ago,"2+ years of experience in big data streaming frameworks, data processing and real-time ingestion patterns.Design and Build world class high-volume real-time…",$65 an hour
"Director I, Data Science, GRS Predictive Analytics Team",Liberty Mutual Insurance,"Boston, MA 02101",30+ days ago,"Coach, mentor, lead, and develop data science talent within the team.Prepare data for modeling and make the best/creative use of applicable and available…","$132,300 - $173,200 a year"
Data Scientist,Aegis Premier Technologies,"Westminster, CO 80021",30+ days ago,"The Data Scientist will help us design, create and deliver products driven from vast consumer data resources.Data mining using state-of-the-art methods.",
Data Scientist,Trinity Solar,"Monmouth County, NJ",6 days ago,Create operational predictive models using current and emerging methodologies in data science.Develop custom data models and algorithms to apply to data sets.,
Data Scientist,Valen Analytics,"Denver, CO",30+ days ago,Effectively represent the Data Science group in a collaborative environment to execute on company goals.Data visualization software and tools.,
Data Science Internship,DICK'S Sporting Goods,,18 days ago,The core data science team at DICK’S Sporting Goods is seeking a Data Science intern to support product teams within the technology organization.,
Data Scientist - Entry Level,Numerdox,,30+ days ago,"As a Data Scientist you will be working on consulting side of our business.Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics,…",
Summer Research Trainee in Biomedical Big Data Science,"Ma'ayan Laboratory, Icahn School of Medicine at Mo...",,30+ days ago,"Students majoring in Computer Science, Informatics, Mathematics, Statistics, Physics, Engineering, Chemistry/Chemical Sciences or Biological Sciences and have…","$8,000 a month"
Sr. Data Scientist,Microagility,,Today,"As a Senior Data Scientist, you will work at the direction of Principal Data Scientists to collect, organize, and prepare data for use in an analytics model,…",
Data Scientist - Data Analytics,FCA,,20 days ago,"Passionate about data, data analysis, and application of analysis for decision-making.Experience working with and creating data architectures.",
2020 Summer Internship - Data Science,Domino's,,30+ days ago,"Pursuing MS or MBA degree in Data Science, Mathematics, Statistics, Predictive Modeling, Industrial Operations Engineering, or other related field.",
